2025-12-15 16:26:11 | admin | LOGIN | role=admin
2025-12-15 16:26:11 | admin | SYSTEM_INIT | Database initialized
2025-12-15 16:26:29 | admin | LOGOUT | Session ended
2025-12-15 16:26:45 | dispatcher | LOGIN | role=dispatcher
2025-12-15 16:26:45 | dispatcher | SYSTEM_INIT | Database initialized
2025-12-15 16:27:49 | dispatcher | VIEW_ALL_OWNERS | 
2025-12-15 16:28:00 | dispatcher | VIEW_ALL_CARS | 
2025-12-15 16:29:02 | dispatcher | VIEW_ALL_CARS | 
2025-12-15 16:29:27 | dispatcher | REPORT_ALL_FAULTS | Все владельцы
2025-12-15 16:29:42 | dispatcher | QUERY_OWNER_BY_LICENSE | Номер={
2025-12-15 16:30:01 | dispatcher | VIEW_ALL_OWNERS | 
2025-12-15 16:30:05 | dispatcher | VIEW_ALL_CARS | 
2025-12-15 16:31:14 | dispatcher | QUERY_OWNER_BY_LICENSE | Номер=С789ТУ77
2025-12-15 22:49:45 | admin | LOGIN | role=admin
2025-12-15 22:49:45 | admin | SYSTEM_INIT | Database initialized
